species.id,genus,species,subspecies,scientific.name,common.name,origin,taxa,vector,first.date,IF.score,unknown,tm.161,status,Scientific Name,IF Score,Source
23,Echinogammarus,ischnus,,Echinogammarus ischnus,Scud,Europe,Other,Unknown,1950,2,1,d,established,Echinogammarus ischnus,2,Bartos 2020 (TM-161d)
2678,Epilobium,hirsutum,,Epilobium hirsutum,Hairy willow herb,Eurasia,Plants,Deliberate Release,1874,2,1,a,established,Epilobium hirsutum,2,TM-161
7,Gymnocephalus,cernua,,Gymnocephalus cernua,Ruffe,Eurasia,Mollusks,Ballast,1986,2,5,a,established,Gymnocephalus cernua,2,TM-161
363,Ictiobus,niger,,Ictiobus niger,Black Buffalo,North America,Fish,Direct Accidental Release,1986,2,,Sturtevant 2023,established,Ictiobus niger,2,Sturtevant 2023
390,Lepomis,microlophus,,Lepomis microlophus,Redear Sunfish,North America,Plants,Deliberate Release,1928,2,2,a,established,Lepomis microlophus,2,TM-161
2715,Lupinus,polyphyllus,,Lupinus polyphyllus,Marsh lupine,North America,Mollusks,Deliberate Release,1954,2,2,a,established,Lupinus polyphyllus,2,TM-161
254,Lysimachia,vulgaris,,Lysimachia vulgaris,Garden loosestrife,Eurasia,Plants,Deliberate Release,1912,2,3,a,established,Lysimachia vulgaris,2,TM-161
229,Nasturtium,officinale,,Nasturtium officinale,Water-cress,Eurasia,Crustaceans,Deliberate Release,1847,2,3,a,established,Nasturtium officinale,2,TM-161
750,Pylodictis,olivaris,,Pylodictis olivaris,Flathead catfish,North America,Fish,Deliberate Release,1890,2,2,e,established,Pylodictis olivaris,2,Bartos 2021
1012,Radix,auricularia,,Radix auricularia,European ear snail,Europe,Plants,Direct Accidental Release,1901,2,4,a,established,Radix auricularia,2,TM-161
